Day,Month,Temp2,preci,pollen,EVI
4/1/2012,April,12,0.100098,156.8813131,2058.169922
4/2/2012,April,6.9,1,15.46717172,2080.886719
4/3/2012,April,8.4,0.106016,205.4924242,2080.886719
4/4/2012,April,0.4,0.106282,26.51515152,2080.886719
4/5/2012,April,4.6,0.400146,124.2283951,2110.169922
4/6/2012,April,7.5,0.115193,45.01028807,2110.169922
4/7/2012,April,5.9,0.100983,46.81069959,2110.169922
4/8/2012,April,3.4,6.6001,3.600823045,2147.773682
4/9/2012,April,5,1.5,3.600823045,2147.773682
4/10/2012,April,5.9,2.19995,9.002057613,2147.773682
4/11/2012,April,4.5,0.318919,28.80658436,2195.73584
4/12/2012,April,9.4,0.122398,48.61111111,2195.73584
4/13/2012,April,5.8,0.281709,17.67676768,2195.73584
4/14/2012,April,5.6,0.16728,14.36237374,2256.811279
4/15/2012,April,5.1,0.161983,22.0959596,2256.811279
4/16/2012,April,6.9,0.918421,10.80246914,2256.811279
4/17/2012,April,8,0.264153,10.80246914,2333.886719
4/18/2012,April,6.3,0.102187,10.80246914,2333.886719
4/19/2012,April,5.3,0.100098,14.40329218,2333.886719
4/20/2012,April,6.6,0.100098,48.61111111,2429.811279
4/21/2012,April,8.6,0.436803,99.43181818,2429.811279
4/22/2012,April,9.8,0.100183,1586.489899,2429.811279
4/23/2012,April,12.5,0.100098,1884.785354,2547.73584
4/24/2012,April,17.9,0.100098,3834.876543,2547.73584
4/25/2012,April,17.8,0.112689,5048.353909,2547.73584
4/26/2012,April,10.7,0.100098,873.1995885,2690.39624
4/27/2012,April,12.6,0.400146,806.5025253,2690.39624
4/28/2012,April,11.9,0.123033,1889.204545,2690.39624
4/29/2012,April,14,0.100098,1416.35101,2859.094238
4/30/2012,April,11.7,10.8,487.9115226,2859.094238
5/1/2012,May,12.2,14.5,387.0884774,2859.094238
5/2/2012,May,6.9,0.100098,113.4259259,3054.169922
5/3/2012,May,8.7,0.100098,293.4670782,3054.169922
5/4/2012,May,5.8,0.100098,424.2424242,3054.169922
5/5/2012,May,8.8,0.100098,589.9621212,3273.13208
5/6/2012,May,6,0.100098,81.75505051,3273.13208
5/7/2012,May,8.2,0.100098,226.8518519,3273.13208
5/8/2012,May,6.8,0.10022,203.4465021,3511.358398
5/9/2012,May,10.2,5.1001,124.2283951,3511.358398
5/10/2012,May,9.6,2.6001,46.81069959,3511.358398
5/11/2012,May,12.6,3.5,41.98232323,3761.245361
5/12/2012,May,14.3,1.19995,145.8333333,3761.245361
5/13/2012,May,14.3,0.100098,95.4218107,3761.245361
5/14/2012,May,12.2,0.100098,210.6481481,4013.20752
5/15/2012,May,11.3,0.199951,198.0452675,4013.20752
5/16/2012,May,11.2,0.900146,77.41769547,4013.20752
5/17/2012,May,15.4,1.90015,11.0479798,4256.924316
5/18/2012,May,15,1.69995,149.4341564,4256.924316
